id,category,score,status,dealer,url,price_usd,condition,city_state,year,model,finish,serial,weight_lbs,nut_width_in,fret1_depth_in,fret12_depth_in,neck_profile,shoulder_description,fingerboard_radius,pickups,case_included,modifications,measurements_source,date_discovered,last_confirmed_active
g053,les_paul,83.5,ACTIVE,Carter Vintage Guitars,https://cartervintage.com/shop/gibson-custom-60-les-paul-standard-murphy-lab-heavy-aged-2025-iced-tea-burst/36IRXRf3Ct5FwiD2GGb3lC2ebQG,8000.0,New (Murphy Lab Heavy Aged),"Nashville, TN",2025,Gibson Custom Shop 1960 Les Paul Standard Reissue Murphy Lab Heavy Aged,Iced Tea Burst,,8.6,1.69,0.85,0.95,60s SlimTaper,"Slim 1960-style carve, hide-glue long-tenon neck","12""","Unpotted Custombucker Alnico 3 (7.7k neck / 7.7k bridge), CTS 500K pots, paper-in-oil caps",OHSC and COA,None (new),dealer measured,2026-07-19,2026-08-01
g282,es_335,83.5,ACTIVE,TheGuitarBuyer,https://reverb.com/item/94457520-2020-gibson-custom-shop-61-es-335-reissue-ebony-vos-finish-coa-included-301,4800.0,Very Good,"Dayton, OH",2020,Custom Shop '61 ES-335 Reissue VOS,VOS Ebony,,7.625,1.68,0.81,0.92,'61 slim,,,Custombucker,Gibson brown case + COA + candy,,,2026-07-30,2026-08-01
g072,es_335,83.4,ACTIVE,Mike & Mike's Guitar Bar,https://reverb.com/item/93473088-1969-gibson-es-335-tdc-vintage-guitar-cherry-stoptail-conversion-w-pat-t-tops-case,8499.99,Excellent,"Seattle, WA",1969,Gibson ES-335TDC,Cherry,,7.875,1.5625,0.795,0.955,"Slender C, 3-piece mahogany, medium volute",,,"Original Pat # T-Top humbuckers (neck 7.55k, bridge 7.65k)",Original black tolex hardshell case,"Stopbar tailpiece conversion (trapeze holes doweled), modern vintage-spec Kluson tuners, frets leveled/crowned",dealer measured,2026-07-19,2026-08-01
g071,es_335,82.8,EXCLUDED,Reverb – Thunder Road Guitars PDX,https://reverb.com/item/95830562-1967-gibson-es-335-cherry-all-original-guitar-097033,10999,Excellent,"Portland, OR",1967,Gibson ES-335TD,Cherry,097033,7.69,1.5625,0.82,1.03,"Mahogany neck, thin 60s carve",,"12""","2 Patent # decal humbuckers, CTS pots dated 1966",Newer non-original hardshell case,"None - all original (trapeze, ABR-1 with nylon saddles)",dealer measured,2026-07-19,2026-07-19
g045,es_335,82.3,ACTIVE,Wildwood Guitars,https://wildwoodguitars.com/products/gibson-wildwood-spec-1961-es-335-reissue-3,6999,New,"Louisville, CO",,Gibson Custom Shop Wildwood Spec 1961 ES-335 Reissue (Gloss),Viking Red,140659,7.55,1.6875,0.81,0.92,'61 slim C (Wildwood Spec),"Slim '61 carve, .810/.920 - right in target depth windows","12""",2 Wildwood Spec Custombuckers,Gibson hardshell,,dealer measured,2026-07-19,2026-08-01
g047,es_335,82.3,ACTIVE,Wildwood Guitars,https://wildwoodguitars.com/products/wildwood-spec-1961-es-335-figured-gloss,7249,New,"Louisville, CO",,Gibson Custom Shop Wildwood Spec 1961 ES-335 Figured Reissue (Gloss),Vintage Natural,140233,7.66,1.6875,0.82,0.92,'61 slim C (Wildwood Spec),"Slim '61 carve, .820/.920 in target windows","12""",2 Wildwood Spec Custombuckers,Gibson hardshell,,dealer measured,2026-07-19,2026-08-01
g060,es_335,82.3,SOLD,Rudy's Music,https://rudysmusic.com/products/gibson-1972-es-335td-walnut-727445,6795,"Excellent vintage (one single-layer laminate crack by controls, professionally assessed)","New York, NY (SoHo)",1972,Gibson ES-335TD (Norlin),Walnut,727445,7.9,1.5625,0.747,,"C - .747 at 1st, .912 at 9th (12th not measured)",Very thin early-70s C; slimmest 1st-fret depth in the database,,Original patent-sticker T-Tops,Original hardshell case,"Refret, replaced nut, replaced tuners, one pickup-ring screw replaced",dealer measured,2026-07-19,2026-07-31
g127,les_paul,82.0,ACTIVE,Reverb – Tone House Studios,https://reverb.com/item/97882713-1978-greco-eg-500-les-paul-standard-electric-guitar-sunburst-made-in-japan,799.99,"Very Good (professionally repaired body-wood separation, bass-side contour)","West Babylon, NY (Long Island)",1978,"Greco EG-500 Les Paul Standard (FujiGen lawsuit-era, mid tier)",Sunburst,B788153,9.0,1.72,0.82,0.95,Comfortable medium profile; .820 first fret slim-leaning,,"10""",Stock Greco humbuckers (presumed),Not stated - confirm,None stated (body separation repair disclosed),dealer measured,2026-07-25,2026-08-01
g063,es_335,81.4,ACTIVE,Rainbow Guitars,https://www.rainbowguitars.com/guitar/gibson/memphis-figured-es-335-aquamarine-2018/gb12367719/us,3299,"Pre-owned, Excellent","Tucson, AZ",2018,Gibson Memphis Figured ES-335 (final year of Memphis factory),"Aquamarine VOS nitro, AAA flame maple top/back",12367719,7.94,,0.83,0.94,"Medium C, quarter-sawn mahogany, rolled binding",Comfortable medium C,"12""","Gibson MHS (Memphis Historic Spec) humbuckers, underwound","Original Gibson brown hardshell case, COA, paperwork, strap, cloth",None noted (all original),dealer measured,2026-07-19,2026-08-01
g312,es_335,81.4,ACTIVE,Rainbow Guitars,https://reverb.com/item/99402750-gibson-memphis-figured-es-335-aquamarine-2018,3299,Excellent,"Tucson, AZ",2018,Memphis Figured ES-335,Aquamarine,,7.9375,,0.83,0.94,"Medium C, rolled binding",,,Gibson MHS humbuckers (stock),Original Gibson brown hardshell,none noted,,2026-08-01,2026-08-01
g106,es_335,80.9,ACTIVE,Reverb – Great Instruments,https://reverb.com/item/94065787-gibson-murphy-lab-1961-es-335-ultra-light-aged,6800,Excellent,"Syracuse, NY",2024,"Gibson Custom Shop Murphy Lab 1961 ES-335 Reissue, Ultra Light Aged",Sixties Cherry,,7.82,1.687,0.81,0.92,Authentic '61 Skinny C (SlimTaper scanned from originals),"Skinny C - minimal shoulders, target reissue profile","12""",2x unpotted Alnico III Custombuckers,Gibson Custom Shop black hardshell + COA,None stated,dealer measured,2026-07-22,2026-08-01
g280,es_335,80.8,ACTIVE,G-Brat's Guitars,https://reverb.com/item/95569647-2023-gibson-es-335-custom-shop-61-reissue-murphy-lab-heavy-aged-60-s-cherry,7499.0,Excellent,"Ovilla, TX",2023,Custom Shop '61 ES-335 Reissue Murphy Lab Heavy Aged,60's Cherry,,7.4,,0.846,0.91,Slim '61,,,Custombucker Alnico III,Hardshell case,,,2026-07-30,2026-08-01
g308,les_paul,80.8,ACTIVE,Lovies Guitars ,https://reverb.com/item/94257305-unplayed-2021-custom-shop-murphy-lab-59-les-paul-standard-reissue-electric-guitar-heavy-aged-slow-iced-tea-fade-coa-ohsc,8495.0,Excellent,,2021,"Custom Shop Murphy Lab '59 Les Paul Standard Reissue, Heavy Aged",Slow Iced Tea Fade,911495,8.75,1.6875,0.87,0.945,"Authentic '59 Medium C (.870/.945 — slimmer than typical '59, closest-to-V3 feel of this batch)",,,Custom Shop PAF Custombuckers (original),True,none stated / all original,,2026-08-01,2026-08-01
g090,les_paul,80.2,SOLD,Reverb – Santas Fancy Guitars (private seller),https://reverb.com/item/99582938-8-6-lb-gibson-custom-shop-60-les-paul-60th-anniversary-2020-v2-neck-wide-tomato-vos-r0-1960-historic-reissue,4894.0,"Excellent (used, 100% factory original)","Austin, TX",2020,"Gibson Custom Shop 60th Anniversary 1960 Les Paul Standard Reissue (R0, V2 neck)",Wide Tomato Soup Burst VOS,,8.62,,0.79,0.87,V2 authentic '60 slim C,Sits between chunky '59 and ultra-slim '60s taper per seller,,"Custombuckers (original, well-matched set per seller)",Original Custom Shop case plus all paperwork,"None, 100% factory original",dealer measured,2026-07-21,2026-07-31
g046,es_335,79.9,ACTIVE,Wildwood Guitars,https://wildwoodguitars.com/products/wildwood-spec-1961-es-335-gloss-14,6999,New,"Louisville, CO",,Gibson Custom Shop Wildwood Spec 1961 ES-335 Reissue (Gloss),Viking Red,140283,7.88,1.6875,0.81,0.92,'61 slim C (Wildwood Spec),"Slim '61 carve, .810/.920 in target windows","12""",2 Wildwood Spec Custombuckers,Gibson hardshell,,dealer measured,2026-07-19,2026-08-01
g278,es_335,79.5,ACTIVE,Imperial Vintage Guitars,https://reverb.com/item/97924994-2022-gibson-custom-61-es-335tdc-dot-reissue-cherry-w-ohsc,4595.0,Very Good,"Burbank, CA",2022,Custom Shop '61 ES-335TDC Dot Reissue,,,7.25,1.65,0.76,0.9,'61 slim (per measurements),,,Gibson humbuckers (Custombuckers stock on '61 RI),Original hardshell case + COA,Updated stop-tailpiece and studs; two felt marks from removed Bigsby,,2026-07-30,2026-08-01
g015,es_335,79.1,ACTIVE,Reverb – Austin Vintage Guitars,https://reverb.com/item/91942651-gibson-es-335-td-1970-s-sunburst,5299.0,Very Good,"Austin, TX",1970s,Gibson ES-335 TD,Sunburst,,7.5,1.5625,,,,,,Patent-sticker humbuckers,Hardshell case,None noted; 5th-string tuner slightly bent but functional; original frets,dealer measured,2026-07-19,2026-08-01
g007,les_paul,79.1,ACTIVE,Reverb – Guitar Showcase,https://reverb.com/item/81522271-gibson-custom-shop-1960-les-paul-re-issue-60th-anniversary-001583-2020-tomato-soup-burst,6999,Brand New,"San Jose, CA",2020,"Custom Shop 60th Anniversary 1960 Les Paul Reissue VOS, V2 neck",Tomato Soup Burst (flame top),001583,8.94,,0.81,0.96,1960 V2 carve,"V2: .81 at 1st, .87 at 5th, .96 at 12th — slim in first position, gains shoulder up high",,Stock 60th Anniversary Custombuckers,"Special reissue hard case, case candy, 60th Anniversary COA, original box",None; unsold new-old-stock,dealer measured,2026-07-19,2026-08-01
g035,es_335,78.0,ACTIVE,Chicago Music Exchange,https://chicagomusicexchange.com/products/gibson-prototype-es-335-string-through-mocha-brown-2565063,6495,Used - Excellent (minimal play wear),"Chicago, IL",2021,Gibson ES-335 Prototype (string-through-body),Mocha Brown,13467721,7.69,1.6875,0.8,0.95,Medium C,,"12""","Original stock pickups, 7.4k bridge / 8.0k (as listed)",True,None (factory prototype string-through design),dealer measured,2026-07-19,2026-08-01
g017,es_335,77.6,ACTIVE,Reverb – Coast Sonic,https://reverb.com/item/98249327-1979-gibson-es-335-semi-hollow-guitar-w-case,3799.0,Very Good,"Carlsbad, CA",1979,Gibson ES-335,"Cherry, faded to mellow orange",,7.63,1.6875,0.754,0.96,C,Slim depth (.754 in 1st fret) but wide 1-11/16 nut,12 in,"Original 'tar-back' humbuckers (neck 6.73k, bridge 7.62k)",Original hard case,Converted from trapeze to tune-o-matic bridge + stop tailpiece,dealer measured,2026-07-19,2026-08-01
g006,les_paul,77.5,ACTIVE,Reverb – Guitar Riot,https://reverb.com/item/78711753-gibson-custom-shop-1960-les-paul-standard-reissue-vos-tangerine-burst-03487,6699,Brand New,"Cleveland, OH",2023,Custom Shop 1960 Les Paul Standard Reissue VOS,Tangerine Burst,0 3487,8.75,1.687,0.82,0.98,60s SlimTaper,"Factory 60s SlimTaper, but this example measures fat at the 12th (.98)","12""",Custombuckers (stock 1960 Reissue spec),Yes (Custom Shop reissue case),"None; NOS warehouse find, 2023 model year",dealer measured,2026-07-19,2026-08-01
g292,es_335,76.9,ACTIVE,Gibson Demo Shop,https://reverb.com/item/88275166-gibson-custom-1961-es-335-reissue-sixties-cherry-vos-demo,5409.0,Good,"Nashville, TN",2022,Custom Shop 1961 ES-335 Reissue VOS (Gibson Demo Shop),Sixties Cherry VOS,,7.7,1.688,0.828,0.923,Authentic '61 Skinny C,,,Custombucker Alnico III,Hardshell case + Demo Shop COA,Back of headstock stamped Demo,,2026-07-30,2026-08-01
g302,les_paul,76.8,ACTIVE,"Point Guitars (Reverb, preferred seller, 4131 feedback)",https://reverb.com/item/99980303-2026-gibson-custom-shop-les-paul-standard-59-reissue-r9-vos-8-4-lbs-dirty-lemon-burst,4999,"Mint (bought new, barely played)",,2026,Gibson Custom Shop 1959 Les Paul Standard Reissue (R9) VOS,Dirty Lemon Burst,,8.4,,,,'59 reissue profile (carve not specified; not stated as V3),,,"Stock, all original (unspecified Custombuckers)",True,None - all original per listing,,2026-08-01,2026-08-01
g275,es_335,76.5,ACTIVE,The Music Zoo,https://reverb.com/item/99163733-gibson-custom-shop-1961-es-335-reissue-made-2-measure-antique-natural-and-maple-fretboard-2026,5999.0,Excellent,"Farmingdale, NY",2026,Custom Shop 1961 ES-335 Reissue Made 2 Measure (maple fretboard),Antique Natural,,7.5625,1.69,0.83,0.93,Authentic '61 Thin D,,,Custombucker,Original hardshell case + COA,"M2M spec: maple fretboard, Antique Natural",,2026-07-30,2026-08-01
g295,es_335,76.1,ACTIVE,Gibson Demo Shop,https://reverb.com/item/84736422-gibson-1961-es-335-reissue-heavy-aged-sixties-cherry-demo,7699.0,Excellent,"Nashville, TN",2024,Custom Shop 1961 ES-335 Reissue Murphy Lab Heavy Aged (Gibson Demo Shop),Sixties Cherry,402871,7.75,1.69,0.84,0.91,1960 Slim Taper,,,Custombucker Alnico III,Hardshell case + Demo Shop COA,Back of headstock stamped DEMO,,2026-07-30,2026-08-01
g077,es_335,76.0,ACTIVE,Reverb – Mike & Mike's Guitar Bar,https://reverb.com/item/99332402-1978-gibson-es-335-vintage-semi-hollow-guitar-sunburst-w-tarbacks-coil-tap-case,4799.99,Excellent,"Seattle, WA",1976,Gibson ES-335TD,Sunburst,00-prefix (1976),8.0,1.5625,0.835,1.015,"Medium C, 3-piece maple",,,Original Tarback humbuckers with factory two-way global coil-tap switch,Vintage hardshell case (not original),"Bone nut upgrade (cut to 1 9/16), professional refret with medium jumbo wire; otherwise 100% original",dealer measured,2026-07-19,2026-08-01
g033,les_paul,76.0,SOLD,Chicago Music Exchange,https://chicagomusicexchange.com/products/gibson-custom-60-les-paul-standard-reissue-cherry-2613097,4395,Used - Good,"Chicago, IL",2019,Gibson Custom Shop 1960 Les Paul Standard Reissue (R0),Cherry Sunburst,09215,8.31,1.6875,0.85,0.94,C shape,,"12""","Original neck/bridge pickups, 7.90k / 7.88k",True,Re-wired: non-original volume pots and capacitors (original bumblebees included in case); knobs and switch tip replaced,dealer measured,2026-07-19,2026-07-21
g314,es_335,75.9,ACTIVE,Mahar's Vintage Guitars,https://reverb.com/item/99232629-gibson-memphis-es-335-63-reissue-2013-tone-specific-bloombucker-pickups,3799.95,Excellent,"Chico, CA",2013,Memphis ES-335 '63 Reissue,Sunburst,,7.375,1.6875,0.808,0.992,Slim rounded '60s C,,,"Tone Specific Bloombuckers (aftermarket PAF-style, 7.34k/8.28k) - originals NOT included",Original case,"Non-original pickups, solder and wiring",,2026-08-01,2026-08-01
g031,es_335,75.8,EXCLUDED,Chicago Music Exchange,https://chicagomusicexchange.com/products/gibson-es-335-black-1968-2520236,20358,"Used - Good (vintage, mostly original finish with small touch-ups)","Chicago, IL",1968,Gibson ES-335 (factory Varitone example),Black,952039,7.5,1.5625,0.82,0.99,C profile,,"12""","Patent-number-sticker humbuckers, neck 7.6k / bridge 8.1k",True,"Converted to mono; original Varitone/inductor removed (included in case), non-functional replacement Varitone installed; small finish touch-ups on top",dealer measured,2026-07-19,2026-07-19
g138,es_335,75.8,ACTIVE,Reverb – Guitar Chimp,https://reverb.com/item/87892067-1979-gibson-es-335td-walnut,3699,"Good (7.5/10; checking, dings, honest neck wear)","Salt Lake City, UT",1979,Gibson ES-335TD (Norlin),Walnut,70119037,7.5,1.67,0.75,0.96,Slim (per seller),"Worn-smooth back of neck, slim carve",,Gibson Patent # humbuckers (original),Non-original Gibson case (one broken latch),Professional refret (frets pristine); otherwise original,dealer measured,2026-07-29,2026-08-01
g086,es_335,75.7,ACTIVE,Reverb – The Music Zoo,https://reverb.com/item/94282042-yamaha-sa2200-brown-burst,3099.99,Brand New,"Farmingdale, NY (Long Island showroom)",2025,Yamaha SA-2200 semi-hollow (MIJ),Brown Burst,,8.19,,0.83,0.89,Yamaha soft-D / medium C,Soft D per Yamaha factory spec,"13.75""",Yamaha Alnico V humbuckers w/ push-push coil splits,Hardshell case,None (new),dealer measured,2026-07-20,2026-08-01
g161,les_paul,75.6,ACTIVE,TR Crandall Guitars,https://trcrandall.com/products/2012-gibson-custom-shop-1959-reissue-les-paul-standard,5499.0,,,2012,Custom Shop 1959 Les Paul Standard Reissue (R9),,,8.88,1.6875,,,,,,,True,,,2026-07-30,2026-08-01
g114,les_paul,75.5,SOLD,Reverb – Point Guitars,https://reverb.com/item/99549483,5499,Mint,"Morgantown, PA",2026,Gibson Custom Shop 1959 Les Paul Standard Reissue (R9) VOS,Dirty Lemon Burst,,8.4,,,,'59 rounded medium C (factory),Fuller '59 shoulders - off target slim window; weight/finish/price drive inclusion,"12""",Custombucker Alnico 3 (factory),True,"None; all original, barely played",dealer measured,2026-07-23,2026-07-31
g123,les_paul,75.5,SOLD,Reverb – Luke Laguna Gear (private seller),https://reverb.com/item/99717073-2021-gibson-custom-shop-murphy-lab-59-les-paul-standard-reissue-light-aged-royal-tea-burst,6200,Excellent,"Laguna Niguel, CA",2021,"Gibson Custom Shop Murphy Lab 1959 Les Paul Standard Reissue, Light Aged",Royal Tea Burst,,8.35,,,,'59 Reissue profile (not measured by seller),Standard ML '59 carve expected (fuller than SlimTaper),"12""",Custombuckers (stock; all original),"OHSC, COA, case candy",None stated,dealer measured,2026-07-25,2026-07-26
g083,les_paul,75.5,ACTIVE,Reverb – Tone House Studios,https://reverb.com/item/99189671-2012-fgn-jlc-5r-les-paul-custom-mij-black-w-gigbag-fujigen-japan,1199.99,Excellent,"West Babylon, NY (Long Island)",2012,"FGN/Fujigen JLC-5R Les Paul Custom style (J-Standard, MIJ)",Black,E121940,8.13,1.71,0.839,1.0,Slimmer C (0.839 first fret),Depth numbers suggest medium-slim carve,,Stock FGN humbuckers,Gigbag + original model card,None; factory Circle Fretting System; basswood body (not mahogany),dealer measured,2026-07-20,2026-08-01
g112,les_paul,75.5,ACTIVE,Reverb – Chris's Shop (private seller),https://reverb.com/item/99643245,5699.0,Excellent,"Fuquay Varina, NC",2026,Gibson Custom Shop Wildwood Spec 1960 Les Paul Standard Reissue VOS,Golden Poppy Burst,,8.8,,,,1960 SlimTaper (Wildwood Spec factory carve),Wildwood Spec 1960 slim carve per model spec; seller did not publish depths,"12""",Underwound Custombuckers (Wildwood Spec factory),True,"None noted; always cased, smoke-free",dealer measured,2026-07-23,2026-08-01
g293,es_335,75.5,ACTIVE,Gibson Demo Shop,https://reverb.com/item/88275171-gibson-custom-1961-es-335-reissue-vintage-burst-vos-demo,5409.0,Good,"Nashville, TN",2022,Custom Shop 1961 ES-335 Reissue VOS (Gibson Demo Shop),Vintage Burst VOS,,7.65,1.671,0.828,0.935,Authentic '61 Skinny C,,,Custombucker Alnico III,Hardshell case + Demo Shop COA,Back of headstock stamped Demo,,2026-07-30,2026-08-01
g026,les_paul,75.0,EXCLUDED,Dave's Guitar Shop,https://davesguitar.com/products/les-paul-deluxe-81,2995,Used - Very Good (vintage),"La Crosse, WI",1978,Gibson Les Paul Deluxe (Norlin),Wine Red,,9.2,1.6875,0.8,0.98,"SlimTaper, 3-piece maple neck with small volute",,"12""",Stock Gibson mini-humbuckers,True,Newer Grover Rotomatic tuners installed,dealer measured,2026-07-19,2026-07-29
g113,les_paul,75.0,ACTIVE,Reverb – Jw's Guitar Shop (private seller),https://reverb.com/item/99558264,5995,Excellent,"Peoria, IL",,"Gibson Custom Shop 1960 Les Paul Standard Reissue (R0) VOS, Made 2 Measure",Dirty Lemon Quilt (M2M hand-picked quilted top),,8.75,,,,60s SlimTaper (R0 factory carve),R0 slim carve per model spec; depths not published,"12""",Custombucker Alnico 3 (factory),True,None; minor red bleed in lower neck binding noted by seller,dealer measured,2026-07-23,2026-08-01
g257,les_paul,74.8,ACTIVE,Guitar Showcase,https://reverb.com/item/80578270-gibson-custom-shop-60th-anniversary-60-les-paul-standard-reissue-v2-001717-2020-tomato-soup-burst,6999.0,Brand New,,2020,Custom Shop 60th Anniversary '60 Les Paul Standard Reissue #001717 V2,Tomato Soup Burst,001717,8.656,,,,SlimTaper,,,Custombucker,False,changed,,2026-07-30,2026-08-01
g074,es_335,74.7,ACTIVE,Reverb – SS Vintage,https://reverb.com/item/98427889-gibson-es-335-1979-factory-black-100-original,6950,Very Good,"Chicago, IL",1979,Gibson ES-335TD,Factory Black (Ebony),,8.0,1.5625,,,Comfortable medium profile,,,Original Tarback humbuckers with factory coil-split toggle,Original hardshell case plus original hang tags,"None - 100% original, no breaks/cracks/repairs",dealer measured,2026-07-19,2026-08-01
g298,es_335,74.6,ACTIVE,Watchtower Guitars (Reverb),https://reverb.com/item/94538843-2017-gibson-custom-shop-es-335-64-ri-hand-select-sparkling-burgundy,4395,"Excellent, all original, no repair history",,2017,Gibson Custom Shop (Memphis-era) ES-335 1964 Reissue Hand Select,Sparkling Burgundy (apparent one-off; 'DEMO' marked on back of headstock),,7.75,1.6875,0.81,1.0,"'64 RI carve; 0.81 first fret / 1.00 twelfth fret (medium, not thin)",,,MHS II with relic'd covers,True,"None; all original, OHSC + Custom Shop COA",,2026-07-31,2026-08-01
g101,les_paul,74.5,ACTIVE,Reverb – private seller (Austin TX),https://reverb.com/item/99480738-8-6-lb-gibson-m2m-custom-shop-r0-les-paul-2022-root-beet-burst-60-1960-historic-reissue-v2-neck,4495,Very Good,"Austin, TX",2022,"Gibson Custom Shop M2M 1960 Les Paul Standard Reissue (R0), V2 neck",Root Beer Burst,,8.6,,,,1960 V2 slim fast carve (V2 typically ~0.82 1st / ~0.94 12th),Medium-slim V2 '60 carve - confirm caliper numbers,"12""",Unpotted Custombuckers (Alnico III),Original Custom Shop case + COA + full paperwork,None - 100% factory original,dealer measured,2026-07-22,2026-08-01
g131,les_paul,74.5,ACTIVE,Reverb – private seller (Jacksonville),https://reverb.com/item/99736889-gibson-les-paul-60-s-classic-2007,1800.0,Used - Very Good,"Jacksonville, FL",2007,Gibson Les Paul Classic 1960 Reissue,Ebony,,8.4,,,,1960 slim-taper (factory Classic carve; not individually measured),"Classic 1960 = Gibson's thinnest production 60s carve; expected fast/slim, unverified","12""",Stock Classic-era 496R/500T ceramic (unconfirmed - verify with seller),True,None stated; OHSC included,dealer measured,2026-07-26,2026-08-01
g208,les_paul,74.4,ACTIVE,Santas Fancy Guitars,https://reverb.com/item/99874570-8-25-lb-gibson-custom-shop-r0-les-paul-2023-washed-cherry-vos-_-60-1960-historic-reissue,4495.0,Very Good,,2023,Custom Shop '60 Les Paul,Washed Cherry VOS,,8.25,,,,V3 neck,,,custombucker,False,,,2026-07-30,2026-08-01
g023,es_335,74.3,ACTIVE,The Music Zoo,https://www.themusiczoo.com/products/gibson-custom-shop-1961-es-335-reissue-made-2-measure-antique-natural-and-maple-fretboard-2026,5999.0,Used - barely played (back in on trade),"Farmingdale, NY",2026,Gibson Custom Shop 1961 ES-335 Reissue Made 2 Measure,Antique Natural with maple fretboard,160457,7.56,1.69,0.83,0.93,"Authentic '61 Thin D shape, long tenon",Thin D — matches slim/fast-D preference,12 in,Custombuckers,Original hardshell case + COA,None (M2M factory one-off: natural finish + maple board),dealer measured,2026-07-19,2026-08-01
g130,les_paul,74.3,SOLD,Reverb – private seller (Laguna Niguel),https://reverb.com/item/99681446-2025-gibson-custom-shop-murphy-lab-59-les-paul-standard-reissue-heavy-aged-greeny-vibes,7100.0,"Used - Excellent (near mint, studio only)","Laguna Niguel, CA",2025,"Gibson Custom Shop Murphy Lab 1959 Les Paul Standard Reissue, Heavy Aged",Dirty Lemon ('Greeny' look),,8.74,1.687,0.91,0.98,Authentic '59 Medium C,Full '59 medium C - thicker shoulders than target window,"12""","Custombucker Alnico III, unpotted",True,None; aged Lifton OHSC + COA + paperwork,dealer measured,2026-07-26,2026-07-28
g100,les_paul,74.2,ACTIVE,Reverb – Austin Vintage Guitars,https://reverb.com/item/92253250-gibson-custom-shop-historic-r0-les-paul-standard-1960-reissue-2005-flame-ice-tea-burst,5695,Very Good,"Austin, TX",2005,Gibson Custom Shop Historic 1960 Les Paul Standard Reissue (R0),Flame Ice Tea Burst,,8.81,,,,1960 slim carve (R0 Historic),Era-correct thin 1960 profile; caliper numbers not published - request 1st/12th before purchase,"12""","Gibson Historic humbuckers (stock 2005 R0, BurstBucker era)",Original Gibson case + COA + case candy,None stated; small nicks and scuffs,dealer measured,2026-07-22,2026-08-01
g221,les_paul,74.0,ACTIVE,American Vintage Music ,https://reverb.com/item/95447679-gibson-murphy-lab-wildwood-spec-59-les-paul-standard-heavy-aged,8500.0,Excellent,,2021,Custom Shop Murphy Lab '59 Les Paul Standard Reissue Heavy Aged,Kindred Burst,,8.62,,,,medium C,,,Custombuckers,True,,,2026-07-30,2026-08-01
g036,es_335,73.8,SOLD,Chicago Music Exchange,https://chicagomusicexchange.com/products/gibson-es-335-dot-figured-cherry-2004-2540943,2750,"Used - Good (light wear, mild hardware patina)","Chicago, IL",2004,Gibson ES-335 Dot Figured (Memphis),Cherry,00574707,8.19,1.6875,0.8,0.89,D profile (slim),,"12""","Original Gibson pickups, 7.8k neck / 7.8k bridge",,None noted,dealer measured,2026-07-19,2026-07-19
g258,les_paul,73.8,ACTIVE,Guitar Showcase,https://reverb.com/item/80543369-gibson-1960-reissue-les-paul-v2-001720-2021-tomato-soup-burst,6999.0,Brand New,,2021,1960 Reissue Les Paul V2 #001720,Tomato Soup Burst,001720,8.85,,,,SlimTaper,,,Custombucker,False,changed,,2026-07-30,2026-08-01
g289,es_335,73.8,ACTIVE,TheGuitarBuyer,https://reverb.com/item/92218344-2023-gibson-custom-shop-murphy-lab-ultra-light-aging-61-reissue-es-335-a-40,5500.0,Very Good,"Dayton, OH",2023,Custom Shop Murphy Lab '61 ES-335 Reissue Ultra Light Aged,Cherry,,7.9375,1.68,0.83,0.91,'61 slim,,,Original Custombuckers,Original case + candy,,,2026-07-30,2026-08-01
g073,es_335,73.7,ACTIVE,Reverb – Rock N Roll Vintage & Synth City,https://reverb.com/item/98179752-gibson-es-335-tdc-1969-cherry,8995,Very Good,"Chicago, IL",1969,Gibson ES-335TDC,Cherry,,7.55,1.57,0.811,1.01,,,,Original pickups (1969 patent-sticker era),Not stated in listing - confirm with dealer,None stated; described as minty with impeccably clean finish,dealer measured,2026-07-19,2026-08-01
g226,les_paul,72.8,ACTIVE,Detroit Guitar,https://reverb.com/item/94282393-gibson-custom-m2m-60-les-paul-standard-v3-neck-butterscotch-murphy-lab-heavy-aged,9699.0,Brand New,,,MM  Les Paul Standard V Neck Butterscotch Murphy Lab Heavy Aged,Aged Butterscotch,,8.875,,,,V3 neck,,,Custombucker,True,,,2026-07-30,2026-08-01
g075,es_335,72.6,ACTIVE,Reverb – Imperial Vintage Guitars,https://reverb.com/item/97804214-1976-gibson-es-335td-walnut-w-hsc,4495,Good,"San Diego, CA",1976,Gibson ES-335TD,Walnut,,7.81,1.5625,0.83,1.06,"C shape, 3-piece maple",,,Original Tarback humbuckers,Period-correct Gibson hardshell case,"Grovers previously installed (original tuners reinstalled), D-string tuner shaft slightly bent, finish touch-up near upper f-hole",dealer measured,2026-07-19,2026-08-01
g140,les_paul,72.2,ACTIVE,Retrofret,https://retrofret.com/products/gibson-les-paul-deluxe-solid-body-electric-guitar-1973-12579,5650.0,,,1973,Les Paul Deluxe,Goldtop,051390,9.0,1.6875,,,,,,,True,,,2026-07-30,2026-08-01
g099,les_paul,71.7,SOLD,Reverb – Division Street Guitars,https://reverb.com/item/95606419-burny-rlg-50-super-grade-1983-black,1195.0,Very Good,"Peekskill, NY (Westchester, ~1hr Metro-North)",1983,Burny RLG-50 Super Grade (mid-tier MIJ),Black,,8.94,,,,Dealer: 'feels remarkably similar to a 60s LP' (no measurements),,,"Original Burny L-8000 humbuckers, all original electronics",True,"None - all original; light dings, light fret wear under G/B strings",dealer measured,2026-07-21,2026-07-27
